Year,Gender,Age,DayOfWeek,Hour,Location,Severity
2024,Male,61,Friday,21,Soroca,Without fatalities
2024,Male,46,Friday,0,Cahul,Without fatalities
2024,Female,18,Sunday,22,Comrat,Without fatalities
2024,Male,28,Thursday,10,Edineț,Without fatalities
2014,Female,18,Sunday,22,Comrat,Without fatalities
2014,Female,57,Tuesday,12,Orhei,Without fatalities
2018,Female,39,Tuesday,17,Hîncești,Without fatalities
2023,Female,18,Sunday,20,Orhei,Without fatalities
2016,Female,45,Tuesday,19,Soroca,With fatalities
2023,Male,31,Saturday,9,Orhei,Without fatalities
2014,Male,18,Thursday,12,Ungheni,Without fatalities
2023,Female,65,Wednesday,11,Orhei,Without fatalities
2019,Male,41,Monday,12,Ungheni,With fatalities
2021,Female,35,Sunday,1,Soroca,With fatalities
2024,Male,34,Sunday,2,Orhei,Without fatalities
2022,Male,18,Saturday,16,Chișinău,Without fatalities
2016,Male,20,Tuesday,20,Orhei,Without fatalities
2024,Male,59,Wednesday,18,Orhei,Without fatalities
2019,Male,32,Friday,11,Chișinău,Without fatalities
2022,Male,40,Sunday,15,Comrat,Without fatalities
2023,Male,18,Monday,19,Soroca,With fatalities
2023,Female,20,Friday,19,Edineț,Without fatalities
2021,Female,49,Sunday,21,Soroca,Without fatalities
2023,Female,45,Wednesday,9,Soroca,Without fatalities
2016,Male,66,Wednesday,22,Bălți,Without fatalities
2021,Male,60,Friday,22,Ungheni,With fatalities
2014,Female,36,Saturday,14,Ungheni,Without fatalities
2020,Female,47,Monday,7,Edineț,Without fatalities
2020,Male,35,Friday,18,Cahul,Without fatalities
2024,Female,70,Friday,4,Chișinău,Without fatalities
2020,Female,57,Saturday,11,Comrat,Without fatalities
2024,Female,42,Friday,9,Hîncești,Without fatalities
2021,Female,43,Monday,21,Orhei,Without fatalities
2021,Male,61,Thursday,13,Bălți,Without fatalities
2020,Female,48,Monday,21,Bălți,Without fatalities
2022,Female,63,Saturday,11,Chișinău,With fatalities
2023,Female,18,Friday,23,Orhei,Without fatalities
2023,Female,46,Tuesday,12,Edineț,Without fatalities
2023,Male,32,Tuesday,20,Chișinău,Without fatalities
2019,Female,66,Wednesday,20,Chișinău,Without fatalities
2020,Female,63,Thursday,16,Chișinău,Without fatalities
2020,Female,40,Sunday,0,Soroca,Without fatalities
2015,Female,63,Sunday,21,Comrat,Without fatalities
2024,Female,66,Saturday,9,Ungheni,Without fatalities
2018,Male,41,Wednesday,4,Chișinău,Without fatalities
2017,Female,77,Sunday,10,Chișinău,With fatalities
2022,Female,39,Wednesday,9,Cahul,Without fatalities
2015,Male,36,Tuesday,5,Soroca,Without fatalities
2023,Female,52,Monday,14,Soroca,Without fatalities
2024,Male,34,Wednesday,8,Hîncești,Without fatalities
2020,Female,41,Wednesday,7,Hîncești,Without fatalities
2024,Male,61,Sunday,22,Hîncești,Without fatalities
2019,Male,40,Thursday,22,Edineț,Without fatalities
2019,Female,18,Sunday,5,Hîncești,Without fatalities
2024,Male,45,Tuesday,5,Edineț,Without fatalities
2019,Female,29,Monday,16,Edineț,Without fatalities
2021,Male,52,Thursday,11,Edineț,Without fatalities
2022,Male,50,Monday,6,Edineț,Without fatalities
2019,Female,62,Sunday,4,Soroca,Without fatalities
2020,Male,53,Monday,15,Cahul,Without fatalities
2023,Female,56,Wednesday,22,Ungheni,Without fatalities
2023,Male,29,Thursday,5,Hîncești,Without fatalities
2023,Male,52,Wednesday,7,Comrat,Without fatalities
2022,Female,69,Friday,2,Hîncești,Without fatalities
2018,Female,29,Monday,7,Comrat,Without fatalities
2020,Male,66,Thursday,6,Edineț,With fatalities
2024,Female,31,Tuesday,16,Cahul,Without fatalities
2023,Female,27,Wednesday,18,Edineț,With fatalities
2016,Male,44,Friday,19,Ungheni,Without fatalities
2023,Male,50,Saturday,13,Orhei,Without fatalities
2020,Female,53,Friday,5,Chișinău,Without fatalities
2014,Male,25,Friday,6,Bălți,Without fatalities
2021,Female,46,Wednesday,4,Comrat,Without fatalities
2024,Female,29,Tuesday,18,Orhei,Without fatalities
2021,Female,18,Sunday,20,Soroca,Without fatalities
2024,Female,26,Thursday,6,Comrat,Without fatalities
2017,Female,28,Monday,8,Bălți,Without fatalities
2020,Female,47,Tuesday,11,Ungheni,Without fatalities
2014,Male,57,Wednesday,14,Soroca,Without fatalities
2015,Female,18,Saturday,14,Edineț,Without fatalities
2020,Male,45,Thursday,23,Orhei,Without fatalities
2021,Female,22,Monday,20,Orhei,Without fatalities
2018,Male,49,Saturday,15,Soroca,Without fatalities
2017,Male,30,Thursday,22,Soroca,Without fatalities
2021,Male,24,Monday,19,Chișinău,Without fatalities
2017,Female,51,Sunday,14,Ungheni,With fatalities
2022,Male,31,Monday,4,Hîncești,Without fatalities
2024,Male,35,Friday,11,Bălți,Without fatalities
2023,Female,18,Saturday,3,Orhei,Without fatalities
2018,Male,54,Saturday,2,Bălți,With fatalities
2024,Male,52,Wednesday,0,Hîncești,Without fatalities
2023,Female,40,Tuesday,12,Soroca,Without fatalities
2017,Male,18,Sunday,4,Hîncești,Without fatalities
2022,Male,58,Friday,11,Soroca,Without fatalities
2024,Female,30,Friday,1,Hîncești,Without fatalities
2016,Male,33,Thursday,5,Bălți,Without fatalities
2019,Male,74,Saturday,4,Comrat,Without fatalities
2020,Male,29,Monday,17,Edineț,Without fatalities
2016,Male,51,Monday,23,Cahul,Without fatalities
2019,Female,48,Sunday,4,Chișinău,Without fatalities
2023,Female,45,Thursday,17,Bălți,With fatalities
2021,Female,44,Saturday,15,Soroca,Without fatalities
2021,Female,45,Wednesday,16,Hîncești,With fatalities
2021,Male,44,Monday,1,Soroca,Without fatalities
2023,Female,39,Friday,16,Chișinău,Without fatalities
2024,Female,62,Friday,9,Chișinău,Without fatalities
2022,Male,20,Saturday,2,Bălți,Without fatalities
2023,Male,55,Monday,13,Chișinău,Without fatalities
2020,Male,52,Monday,18,Edineț,With fatalities
2024,Female,50,Wednesday,11,Bălți,Without fatalities
2021,Male,56,Saturday,0,Edineț,Without fatalities
2024,Male,38,Monday,6,Soroca,Without fatalities
2023,Male,18,Wednesday,6,Chișinău,Without fatalities
2023,Female,38,Friday,12,Ungheni,Without fatalities
2019,Female,25,Wednesday,8,Bălți,Without fatalities
2023,Female,29,Monday,4,Orhei,Without fatalities
2016,Female,21,Tuesday,3,Soroca,Without fatalities
2021,Female,32,Saturday,4,Hîncești,Without fatalities
2023,Female,31,Sunday,23,Cahul,Without fatalities
2024,Female,18,Monday,23,Soroca,Without fatalities
2022,Male,50,Tuesday,19,Comrat,With fatalities
2019,Male,73,Friday,11,Hîncești,Without fatalities
2023,Male,49,Saturday,7,Cahul,Without fatalities
2023,Female,36,Sunday,12,Ungheni,Without fatalities
2017,Female,39,Thursday,3,Chișinău,With fatalities
2024,Male,33,Saturday,19,Bălți,Without fatalities
2024,Male,41,Friday,10,Cahul,Without fatalities
2021,Female,39,Friday,14,Comrat,Without fatalities
2015,Female,27,Friday,23,Comrat,With fatalities
2024,Female,65,Wednesday,13,Chișinău,Without fatalities
2017,Female,18,Sunday,17,Hîncești,Without fatalities
2022,Female,50,Friday,19,Cahul,Without fatalities
2020,Female,38,Thursday,0,Cahul,Without fatalities
2024,Female,68,Monday,0,Bălți,Without fatalities
2024,Female,45,Tuesday,10,Cahul,Without fatalities
2023,Male,34,Saturday,23,Orhei,Without fatalities
2018,Female,36,Saturday,19,Ungheni,Without fatalities
2023,Female,40,Friday,5,Bălți,Without fatalities
2022,Female,22,Tuesday,4,Edineț,With fatalities
2017,Male,28,Friday,12,Chișinău,With fatalities
2023,Male,18,Wednesday,9,Edineț,Without fatalities
2016,Female,26,Tuesday,5,Bălți,Without fatalities
2021,Male,41,Friday,3,Hîncești,Without fatalities
2021,Male,44,Friday,3,Ungheni,Without fatalities
2023,Male,18,Thursday,6,Ungheni,Without fatalities
2021,Female,37,Thursday,15,Comrat,Without fatalities
2023,Female,48,Sunday,0,Cahul,With fatalities
2021,Female,37,Thursday,8,Cahul,Without fatalities
2022,Female,30,Sunday,18,Ungheni,Without fatalities
2018,Female,33,Wednesday,19,Cahul,With fatalities
2018,Female,31,Sunday,14,Edineț,Without fatalities
2023,Female,30,Tuesday,8,Hîncești,Without fatalities
2017,Male,42,Wednesday,20,Soroca,Without fatalities
2017,Female,74,Monday,19,Cahul,Without fatalities
2024,Female,28,Friday,21,Comrat,Without fatalities
2019,Female,35,Friday,0,Cahul,Without fatalities
2019,Female,39,Friday,0,Orhei,Without fatalities
2022,Female,29,Thursday,15,Ungheni,Without fatalities
2021,Female,56,Friday,4,Comrat,Without fatalities
2022,Female,18,Sunday,20,Orhei,With fatalities
2017,Female,32,Thursday,8,Comrat,Without fatalities
2022,Male,52,Monday,0,Ungheni,Without fatalities
2017,Male,35,Wednesday,18,Orhei,Without fatalities
2023,Female,27,Wednesday,15,Comrat,Without fatalities
2021,Female,46,Sunday,2,Edineț,Without fatalities
2023,Male,53,Wednesday,3,Hîncești,Without fatalities
2017,Female,43,Thursday,11,Cahul,Without fatalities
2020,Female,27,Saturday,6,Soroca,Without fatalities
2023,Male,46,Saturday,14,Cahul,With fatalities
2023,Female,33,Tuesday,22,Soroca,With fatalities
2024,Female,51,Saturday,14,Bălți,Without fatalities
2018,Female,62,Tuesday,4,Cahul,Without fatalities
2021,Male,18,Monday,22,Comrat,Without fatalities
2014,Male,41,Tuesday,1,Edineț,Without fatalities
2024,Female,18,Monday,11,Soroca,Without fatalities
2017,Male,76,Friday,18,Cahul,Without fatalities
2024,Male,32,Sunday,22,Ungheni,Without fatalities
2022,Male,51,Wednesday,4,Cahul,Without fatalities
2024,Female,39,Sunday,22,Cahul,Without fatalities
2018,Male,27,Saturday,2,Hîncești,Without fatalities
2020,Male,26,Thursday,23,Ungheni,Without fatalities
2017,Male,63,Monday,5,Orhei,Without fatalities
2021,Female,54,Saturday,12,Cahul,Without fatalities
2024,Male,69,Thursday,19,Edineț,With fatalities
2022,Male,40,Thursday,14,Ungheni,With fatalities
2020,Female,44,Wednesday,3,Edineț,Without fatalities
2019,Male,35,Sunday,19,Bălți,Without fatalities
2022,Male,35,Friday,6,Hîncești,Without fatalities
2023,Male,24,Friday,21,Bălți,Without fatalities
2020,Female,41,Sunday,17,Cahul,Without fatalities
2018,Female,28,Tuesday,20,Cahul,Without fatalities
2022,Male,46,Saturday,20,Soroca,Without fatalities
2020,Male,42,Friday,21,Cahul,With fatalities
2024,Male,44,Wednesday,6,Edineț,Without fatalities
2021,Male,65,Saturday,11,Comrat,Without fatalities
2021,Male,39,Thursday,10,Chișinău,Without fatalities
2023,Male,51,Monday,23,Orhei,With fatalities
2019,Female,70,Monday,11,Bălți,With fatalities
2015,Male,59,Friday,14,Edineț,Without fatalities
2024,Male,57,Tuesday,7,Edineț,Without fatalities
2022,Male,35,Monday,10,Comrat,Without fatalities
2019,Female,43,Tuesday,20,Edineț,Without fatalities
2020,Male,20,Monday,17,Chișinău,Without fatalities
2021,Female,47,Tuesday,9,Edineț,Without fatalities
2022,Male,44,Sunday,7,Chișinău,Without fatalities
2021,Male,40,Tuesday,5,Cahul,Without fatalities
2020,Male,55,Thursday,2,Ungheni,Without fatalities
2023,Male,21,Wednesday,19,Cahul,With fatalities
2016,Male,64,Monday,11,Bălți,Without fatalities
2022,Male,53,Saturday,16,Cahul,With fatalities
2021,Female,38,Friday,2,Hîncești,With fatalities
2020,Male,37,Wednesday,19,Bălți,Without fatalities
2024,Male,47,Thursday,17,Soroca,With fatalities
2023,Male,62,Thursday,11,Cahul,Without fatalities
2018,Female,41,Thursday,21,Hîncești,Without fatalities
2022,Male,42,Friday,23,Comrat,Without fatalities
2023,Female,40,Monday,15,Cahul,Without fatalities
2024,Male,66,Monday,21,Bălți,With fatalities
2023,Male,34,Sunday,9,Bălți,Without fatalities
2023,Female,39,Sunday,18,Soroca,Without fatalities
2022,Female,61,Tuesday,8,Hîncești,Without fatalities
2015,Male,42,Tuesday,13,Bălți,Without fatalities
2022,Female,57,Saturday,19,Bălți,With fatalities
2023,Female,26,Tuesday,13,Edineț,Without fatalities
2020,Male,36,Friday,21,Cahul,Without fatalities
2022,Male,62,Wednesday,3,Cahul,Without fatalities
2024,Male,29,Sunday,14,Orhei,Without fatalities
2017,Female,37,Monday,19,Orhei,Without fatalities
2019,Male,43,Tuesday,1,Orhei,Without fatalities
2016,Male,25,Sunday,17,Soroca,Without fatalities
2021,Female,33,Friday,1,Ungheni,Without fatalities
2023,Female,41,Friday,17,Hîncești,Without fatalities
2021,Male,40,Saturday,7,Ungheni,Without fatalities
2015,Female,59,Tuesday,9,Chișinău,Without fatalities
2019,Female,63,Sunday,19,Edineț,Without fatalities
2024,Female,27,Sunday,3,Edineț,With fatalities
2022,Male,41,Saturday,9,Cahul,Without fatalities
2024,Male,50,Sunday,9,Hîncești,Without fatalities
2023,Male,62,Thursday,2,Comrat,Without fatalities
2020,Female,50,Thursday,20,Comrat,Without fatalities
2022,Male,44,Thursday,3,Soroca,Without fatalities
2022,Male,49,Tuesday,22,Cahul,Without fatalities
2023,Female,50,Friday,9,Soroca,With fatalities
2020,Female,26,Friday,6,Cahul,Without fatalities
2019,Male,42,Monday,21,Cahul,Without fatalities
2022,Female,61,Sunday,22,Chișinău,With fatalities
2023,Male,36,Thursday,11,Ungheni,Without fatalities
2020,Male,41,Tuesday,6,Hîncești,Without fatalities
2019,Male,36,Monday,12,Orhei,With fatalities
2023,Female,18,Friday,7,Orhei,Without fatalities
2022,Female,40,Sunday,12,Orhei,Without fatalities
2020,Male,44,Sunday,0,Soroca,Without fatalities
2021,Male,32,Monday,15,Bălți,Without fatalities
2024,Male,22,Thursday,18,Soroca,Without fatalities
2023,Male,26,Sunday,18,Cahul,Without fatalities
2018,Female,51,Sunday,20,Bălți,Without fatalities
2019,Male,69,Sunday,12,Ungheni,Without fatalities
2019,Male,60,Wednesday,6,Hîncești,Without fatalities
2023,Female,19,Thursday,14,Comrat,Without fatalities
2022,Male,52,Thursday,5,Hîncești,With fatalities
2024,Male,30,Tuesday,3,Cahul,Without fatalities
2016,Male,31,Wednesday,21,Bălți,Without fatalities
2015,Male,33,Sunday,22,Hîncești,Without fatalities
2022,Male,50,Saturday,19,Orhei,With fatalities
2019,Female,54,Wednesday,10,Ungheni,Without fatalities
2022,Female,38,Wednesday,23,Ungheni,Without fatalities
2023,Female,38,Friday,20,Orhei,Without fatalities
2019,Female,46,Monday,18,Comrat,Without fatalities
2024,Male,48,Friday,1,Soroca,Without fatalities
2023,Female,57,Saturday,16,Edineț,Without fatalities
2020,Female,20,Wednesday,14,Chișinău,Without fatalities
2020,Female,40,Tuesday,19,Chișinău,Without fatalities
2023,Female,23,Saturday,17,Ungheni,Without fatalities
2019,Female,39,Sunday,11,Edineț,Without fatalities
2019,Female,36,Thursday,2,Edineț,Without fatalities
2022,Female,39,Sunday,16,Orhei,Without fatalities
2017,Female,28,Thursday,13,Soroca,Without fatalities
2024,Male,18,Friday,5,Bălți,Without fatalities
2019,Female,18,Sunday,3,Soroca,Without fatalities
2020,Male,38,Saturday,20,Soroca,With fatalities
2018,Female,33,Friday,7,Bălți,With fatalities
2022,Female,29,Tuesday,19,Edineț,Without fatalities
2015,Female,59,Thursday,21,Soroca,Without fatalities
2024,Male,27,Sunday,2,Soroca,Without fatalities
2019,Male,61,Friday,7,Chișinău,Without fatalities
2024,Female,64,Sunday,12,Chișinău,With fatalities
2019,Male,18,Monday,18,Chișinău,Without fatalities
2021,Female,41,Friday,14,Edineț,Without fatalities
2023,Male,34,Friday,22,Bălți,Without fatalities
2022,Male,18,Wednesday,6,Edineț,Without fatalities
2021,Male,18,Monday,2,Orhei,Without fatalities
2023,Female,51,Monday,18,Soroca,Without fatalities
2021,Male,70,Sunday,9,Orhei,Without fatalities
2020,Male,53,Tuesday,15,Ungheni,Without fatalities
2023,Female,44,Sunday,13,Cahul,Without fatalities
2024,Male,39,Wednesday,7,Ungheni,Without fatalities
2022,Female,65,Monday,10,Hîncești,Without fatalities
2019,Female,72,Wednesday,18,Edineț,Without fatalities
2023,Male,31,Wednesday,1,Edineț,Without fatalities
2023,Female,18,Thursday,4,Chișinău,Without fatalities
2019,Male,18,Sunday,10,Soroca,Without fatalities
2020,Male,59,Monday,6,Orhei,Without fatalities
2017,Female,39,Thursday,7,Hîncești,Without fatalities
2016,Male,42,Sunday,16,Orhei,Without fatalities
2023,Male,18,Friday,11,Chișinău,Without fatalities
2020,Female,28,Sunday,17,Chișinău,Without fatalities
2019,Female,35,Friday,6,Comrat,Without fatalities
2019,Male,43,Thursday,8,Cahul,Without fatalities
2016,Female,34,Friday,18,Comrat,Without fatalities
2024,Female,24,Thursday,13,Soroca,With fatalities
2020,Female,28,Sunday,23,Chișinău,Without fatalities
2017,Female,58,Tuesday,18,Edineț,Without fatalities
2024,Male,43,Wednesday,19,Hîncești,Without fatalities
2023,Male,49,Tuesday,17,Orhei,Without fatalities
2022,Female,26,Monday,14,Bălți,Without fatalities
2019,Male,18,Tuesday,20,Hîncești,Without fatalities
2020,Female,32,Tuesday,20,Bălți,Without fatalities
2023,Female,27,Friday,3,Orhei,With fatalities
2022,Male,45,Saturday,12,Ungheni,Without fatalities
2020,Male,89,Sunday,4,Orhei,Without fatalities
2016,Male,50,Saturday,11,Ungheni,Without fatalities
2024,Male,81,Thursday,16,Cahul,Without fatalities
2024,Female,48,Monday,9,Edineț,Without fatalities
2023,Female,30,Saturday,11,Soroca,Without fatalities
2023,Male,45,Friday,5,Chișinău,Without fatalities
2021,Female,66,Monday,19,Edineț,Without fatalities
2024,Male,67,Wednesday,19,Cahul,Without fatalities
2023,Male,31,Thursday,11,Ungheni,Without fatalities
2016,Male,43,Friday,12,Hîncești,Without fatalities
2016,Female,18,Tuesday,20,Cahul,Without fatalities
2024,Female,52,Sunday,16,Soroca,With fatalities
2024,Male,63,Wednesday,19,Edineț,Without fatalities
2022,Male,40,Tuesday,9,Orhei,Without fatalities
2018,Male,29,Saturday,18,Cahul,Without fatalities
2022,Male,45,Sunday,4,Edineț,Without fatalities
2023,Female,46,Monday,4,Soroca,With fatalities
2014,Female,41,Wednesday,7,Orhei,Without fatalities
2023,Male,42,Sunday,16,Cahul,Without fatalities
2021,Male,37,Sunday,2,Edineț,Without fatalities
2021,Female,54,Friday,20,Ungheni,Without fatalities
2021,Male,51,Tuesday,15,Hîncești,Without fatalities
2023,Female,25,Saturday,18,Soroca,Without fatalities
2018,Female,24,Tuesday,5,Chișinău,Without fatalities
2022,Male,36,Monday,9,Hîncești,Without fatalities
2015,Female,51,Monday,15,Edineț,Without fatalities
2023,Female,42,Saturday,12,Soroca,Without fatalities
2023,Female,30,Thursday,2,Cahul,Without fatalities
2019,Female,43,Saturday,21,Hîncești,Without fatalities
2016,Male,35,Thursday,7,Comrat,Without fatalities
2023,Female,53,Saturday,19,Edineț,Without fatalities
2021,Female,44,Saturday,7,Cahul,Without fatalities
2024,Female,35,Monday,6,Orhei,Without fatalities
2020,Male,43,Thursday,10,Ungheni,Without fatalities
2023,Male,59,Saturday,19,Cahul,With fatalities
2014,Male,31,Sunday,2,Ungheni,Without fatalities
2023,Female,46,Tuesday,20,Bălți,With fatalities
2022,Male,38,Monday,20,Soroca,Without fatalities
2021,Male,46,Sunday,6,Edineț,Without fatalities
2024,Male,30,Sunday,10,Soroca,Without fatalities
2024,Female,41,Wednesday,16,Bălți,Without fatalities
2024,Male,56,Monday,17,Comrat,Without fatalities
2022,Male,25,Saturday,8,Edineț,Without fatalities
2021,Male,20,Friday,12,Ungheni,Without fatalities
2019,Female,20,Friday,14,Cahul,Without fatalities
2017,Female,22,Sunday,18,Edineț,Without fatalities
2022,Male,48,Sunday,14,Bălți,Without fatalities
2017,Male,18,Monday,6,Comrat,With fatalities
2017,Male,35,Wednesday,2,Edineț,Without fatalities
2020,Female,49,Monday,23,Soroca,Without fatalities
2018,Female,46,Wednesday,7,Comrat,Without fatalities
2021,Male,34,Saturday,12,Hîncești,With fatalities
2022,Female,42,Tuesday,15,Edineț,Without fatalities
2023,Male,41,Tuesday,2,Soroca,Without fatalities
2021,Female,36,Wednesday,20,Ungheni,Without fatalities
2021,Male,36,Sunday,22,Cahul,Without fatalities
2021,Female,73,Thursday,0,Orhei,Without fatalities
2018,Male,52,Tuesday,2,Ungheni,Without fatalities
2022,Female,77,Friday,15,Ungheni,Without fatalities
2022,Male,32,Monday,0,Comrat,Without fatalities
2019,Male,38,Saturday,17,Soroca,Without fatalities
2023,Male,20,Thursday,13,Chișinău,Without fatalities
2024,Male,27,Sunday,6,Soroca,With fatalities
2022,Female,68,Friday,22,Orhei,Without fatalities
2016,Male,32,Monday,2,Chișinău,Without fatalities
2019,Female,68,Friday,21,Cahul,Without fatalities
2016,Female,21,Thursday,15,Orhei,Without fatalities
2019,Male,24,Wednesday,5,Comrat,Without fatalities
2018,Male,34,Monday,17,Comrat,Without fatalities
2022,Male,39,Friday,12,Comrat,Without fatalities
2021,Male,53,Saturday,23,Hîncești,Without fatalities
2023,Female,46,Sunday,1,Bălți,Without fatalities
2020,Female,33,Saturday,11,Cahul,Without fatalities
2017,Female,38,Friday,3,Comrat,Without fatalities
2018,Female,35,Sunday,8,Orhei,With fatalities
2022,Male,26,Thursday,19,Chișinău,Without fatalities
2021,Female,26,Thursday,22,Comrat,Without fatalities
2015,Male,55,Sunday,4,Bălți,Without fatalities
2018,Male,18,Saturday,9,Ungheni,Without fatalities
2019,Female,64,Saturday,5,Comrat,Without fatalities
2023,Female,34,Sunday,0,Ungheni,Without fatalities
2023,Female,28,Thursday,19,Orhei,With fatalities
2023,Female,51,Wednesday,4,Hîncești,Without fatalities
2023,Female,62,Tuesday,5,Soroca,With fatalities
2024,Female,56,Friday,21,Cahul,Without fatalities
2016,Male,47,Wednesday,20,Orhei,Without fatalities
2021,Male,56,Friday,18,Ungheni,Without fatalities
2017,Male,18,Saturday,10,Hîncești,Without fatalities
2020,Female,32,Wednesday,14,Bălți,Without fatalities
2022,Male,26,Saturday,1,Soroca,Without fatalities
2022,Male,58,Sunday,14,Hîncești,Without fatalities
2017,Male,34,Sunday,6,Comrat,Without fatalities
2023,Male,52,Saturday,16,Soroca,With fatalities
2023,Male,48,Saturday,11,Edineț,Without fatalities
2017,Male,27,Monday,11,Bălți,Without fatalities
2022,Female,31,Tuesday,4,Ungheni,Without fatalities
2024,Female,59,Saturday,19,Orhei,Without fatalities
2016,Female,28,Friday,6,Comrat,Without fatalities
2017,Male,41,Thursday,1,Edineț,Without fatalities
2023,Female,28,Tuesday,12,Ungheni,With fatalities
2020,Female,35,Friday,23,Hîncești,Without fatalities
2024,Male,39,Monday,8,Comrat,Without fatalities
2022,Female,28,Saturday,14,Bălți,With fatalities
2021,Male,25,Friday,14,Hîncești,Without fatalities
2020,Female,44,Friday,0,Comrat,With fatalities
2018,Male,27,Friday,20,Soroca,Without fatalities
2022,Male,27,Tuesday,19,Cahul,Without fatalities
2022,Female,25,Saturday,20,Hîncești,Without fatalities
2020,Male,38,Friday,2,Comrat,Without fatalities
2024,Female,54,Thursday,0,Cahul,Without fatalities
2023,Male,62,Saturday,18,Soroca,Without fatalities
2019,Female,29,Wednesday,19,Cahul,With fatalities
2024,Female,72,Thursday,12,Cahul,Without fatalities
2023,Male,24,Monday,14,Comrat,Without fatalities
2024,Female,56,Sunday,12,Hîncești,Without fatalities
2017,Female,29,Tuesday,17,Soroca,Without fatalities
2015,Female,26,Wednesday,16,Ungheni,Without fatalities
2021,Male,28,Tuesday,0,Ungheni,Without fatalities
2021,Male,39,Tuesday,14,Cahul,With fatalities
2024,Female,48,Friday,23,Edineț,Without fatalities
2017,Female,50,Thursday,3,Chișinău,Without fatalities
2014,Male,25,Wednesday,1,Cahul,With fatalities
2021,Male,25,Friday,18,Bălți,Without fatalities
2017,Female,26,Wednesday,7,Comrat,Without fatalities
2015,Male,38,Saturday,21,Orhei,Without fatalities
2014,Male,36,Saturday,15,Chișinău,Without fatalities
2017,Female,25,Thursday,7,Cahul,With fatalities
2020,Male,44,Friday,9,Ungheni,Without fatalities
2024,Male,73,Wednesday,15,Comrat,Without fatalities
2023,Male,32,Sunday,4,Cahul,With fatalities
2021,Female,33,Saturday,18,Ungheni,With fatalities
2021,Male,48,Friday,5,Comrat,Without fatalities
2021,Female,31,Tuesday,9,Ungheni,Without fatalities
2024,Male,50,Saturday,23,Hîncești,Without fatalities
2023,Male,29,Monday,4,Orhei,Without fatalities
2017,Female,67,Wednesday,20,Bălți,Without fatalities
2024,Female,45,Sunday,18,Chișinău,Without fatalities
2023,Female,30,Saturday,18,Edineț,Without fatalities
2015,Female,31,Thursday,12,Cahul,Without fatalities
2021,Male,32,Wednesday,14,Comrat,Without fatalities
2022,Female,60,Monday,7,Ungheni,Without fatalities
2015,Female,20,Wednesday,10,Cahul,Without fatalities
2020,Female,29,Wednesday,0,Hîncești,Without fatalities
2022,Male,31,Saturday,3,Orhei,Without fatalities
2023,Male,39,Wednesday,21,Orhei,Without fatalities
2024,Female,35,Thursday,21,Orhei,Without fatalities
2017,Female,18,Monday,12,Cahul,Without fatalities
2022,Female,34,Saturday,6,Orhei,Without fatalities
2024,Female,38,Monday,6,Ungheni,Without fatalities
2023,Male,30,Thursday,5,Bălți,Without fatalities
2022,Female,50,Wednesday,7,Cahul,With fatalities
2018,Male,53,Wednesday,11,Ungheni,Without fatalities
2023,Female,38,Saturday,23,Chișinău,Without fatalities
2022,Female,43,Monday,17,Comrat,Without fatalities
2016,Male,18,Wednesday,22,Soroca,Without fatalities
2024,Female,33,Sunday,14,Hîncești,Without fatalities
2024,Female,55,Tuesday,15,Orhei,Without fatalities
2021,Female,33,Wednesday,0,Edineț,Without fatalities
2023,Female,28,Sunday,9,Hîncești,Without fatalities
2022,Male,74,Wednesday,14,Orhei,With fatalities
2021,Female,67,Friday,23,Comrat,Without fatalities
2020,Female,47,Monday,12,Orhei,Without fatalities
2024,Male,57,Monday,18,Orhei,Without fatalities
2020,Female,18,Sunday,12,Bălți,With fatalities
2021,Male,28,Tuesday,8,Soroca,With fatalities
2018,Female,32,Tuesday,20,Orhei,Without fatalities
2019,Female,36,Tuesday,15,Soroca,Without fatalities
2020,Female,32,Monday,22,Ungheni,Without fatalities
2024,Male,18,Friday,13,Orhei,Without fatalities
2020,Male,45,Friday,22,Orhei,Without fatalities
2022,Female,48,Thursday,8,Edineț,Without fatalities
2022,Male,64,Monday,17,Edineț,Without fatalities
2022,Female,28,Thursday,3,Chișinău,Without fatalities
2023,Male,26,Wednesday,11,Bălți,Without fatalities
2024,Female,18,Tuesday,23,Chișinău,With fatalities
2018,Male,35,Thursday,4,Comrat,With fatalities
2024,Female,53,Saturday,10,Edineț,Without fatalities
2022,Male,30,Thursday,4,Cahul,With fatalities
2024,Male,72,Monday,18,Cahul,With fatalities
2024,Male,36,Tuesday,20,Comrat,Without fatalities
2020,Male,42,Tuesday,6,Edineț,Without fatalities
2022,Female,19,Friday,3,Orhei,Without fatalities
2024,Female,44,Thursday,7,Edineț,Without fatalities
2020,Male,18,Friday,5,Bălți,Without fatalities
2015,Female,50,Thursday,5,Comrat,Without fatalities
2020,Male,50,Monday,21,Soroca,Without fatalities
2020,Female,60,Monday,3,Orhei,With fatalities
2023,Male,24,Wednesday,13,Comrat,Without fatalities
2019,Female,42,Thursday,2,Hîncești,With fatalities
2024,Female,48,Thursday,9,Comrat,Without fatalities
2022,Male,46,Tuesday,21,Chișinău,Without fatalities
2022,Male,27,Sunday,5,Soroca,Without fatalities
2023,Male,18,Tuesday,17,Ungheni,Without fatalities
2017,Male,45,Sunday,9,Edineț,Without fatalities
2014,Male,37,Friday,8,Comrat,Without fatalities
2015,Female,31,Wednesday,15,Ungheni,With fatalities
